Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,Bp,Bt,UVl,UVi,R,G,B,Vl,Il,LUX,T,P,BAlt,H:M:S.ms,DD/MM/20YY,Fix,FixQ,Lat,Long,LatD,LongD,Speed,Angle,GAlt,Sats
-0.67,-9.02,-3.41,27.64,41.00,22.76,0.20,0.01,0.00,1041.51,25.50,681,19.14,3680,4378,3962,5547,2442,953.31,25.46,1041.56,1272.10,23:59:44.796,5/1/2080,0,0,,,,,,,,,
-0.59,-9.34,-2.71,27.55,41.27,22.35,0.23,0.01,-0.00,1041.63,18.10,670,18.70,4335,4298,7017,5263,2410,810.71,18.15,1019.50,1245.14,23:59:45.781,5/1/2080,0,0,,,,,,,,,
-0.71,-9.14,-3.18,27.82,41.00,22.65,0.19,0.01,0.00,1041.53,18.20,670,18.70,6880,10852,10650,8044,3231,1687.27,18.15,1019.51,1245.17,23:59:46.796,5/1/2080,0,0,,,,,,,,,
-0.71,-9.14,-3.18,28.00,41.09,22.86,0.19,0.01,0.00,1019.42,18.20,670,18.70,7364,10997,10958,8324,3416,1675.76,18.13,1019.45,1245.09,23:59:47.781,5/1/2080,0,0,,,,,,,,,
-0.63,-9.14,-3.18,27.73,41.18,22.65,0.19,0.01,0.00,1019.42,18.20,670,18.74,7592,10963,11038,8272,3359,1699.90,18.19,1019.58,1245.25,23:59:48.796,5/1/2080,0,0,,,,,,,,,
-0.75,-9.14,-3.18,27.82,41.18,22.86,0.19,0.01,0.00,1019.45,18.20,670,18.74,7518,11058,11012,8410,3483,1662.18,18.17,1019.53,1245.19,23:59:49.781,5/1/2080,0,0,,,,,,,,,
-0.63,-9.10,-3.18,27.82,41.18,22.65,0.19,0.01,0.00,1019.59,18.20,670,18.74,7518,11216,11058,8539,3508,1715.38,18.19,1019.61,1245.29,23:59:50.796,5/1/2080,0,0,,,,,,,,,
-0.63,-9.14,-3.10,27.73,41.00,23.06,0.19,0.01,0.00,1019.43,18.20,670,18.74,7154,11010,10877,8215,3275,1746.91,18.17,1019.36,1244.99,23:59:51.796,5/1/2080,0,0,,,,,,,,,
-0.71,-9.14,-3.18,27.73,41.09,22.76,0.19,0.01,0.00,1019.48,18.10,670,18.74,6895,10818,10738,8134,3133,1834.43,18.13,1019.44,1245.08,23:59:52.796,5/1/2080,0,0,,,,,,,,,
-0.71,-9.14,-3.14,27.82,41.09,22.86,0.19,0.01,0.00,1041.53,18.10,670,18.74,7452,11478,11411,8332,3304,1788.73,18.13,1019.49,1245.14,23:59:53.781,5/1/2080,0,0,,,,,,,,,
-0.71,-9.10,-3.10,27.73,41.18,22.76,0.19,0.01,0.00,1041.46,18.10,670,18.74,6731,10512,10521,7679,2859,1824.82,18.13,1019.47,1245.11,23:59:55.796,5/1/2080,0,0,,,,,,,,,
-0.71,-9.06,-3.22,27.91,41.00,22.86,0.16,0.01,0.01,1041.61,18.10,671,18.78,1960,3761,2196,3844,1902,445.78,18.14,1019.45,1245.09,23:59:56.796,5/1/2080,0,0,,,,,,,,,
-0.71,-8.94,-3.37,27.64,40.91,22.86,0.10,0.01,0.01,1041.64,18.10,671,18.78,1878,2789,2388,4193,2189,417.03,18.13,1019.44,1245.08,23:59:57.781,5/1/2080,0,0,,,,,,,,,
-0.63,-9.18,-3.02,27.82,41.45,22.76,0.19,0.01,0.00,1041.61,25.50,672,18.82,2917,3647,2762,3294,1795,290.25,25.53,1041.77,1272.35,23:59:58.796,5/1/2080,0,0,,,,,,,,,
-0.71,-9.06,-2.86,27.82,41.27,22.65,0.18,0.01,0.00,1041.84,25.50,671,18.78,2770,3488,3275,3945,2050,397.09,25.55,1041.81,1272.40,23:59:59.796,5/1/2080,0,0,,,,,,,,,
-0.67,-9.26,-2.90,27.45,41.36,21.22,0.08,0.01,0.01,1041.64,25.50,671,18.78,3102,5955,5581,4898,2555,488.16,25.55,1041.82,1272.41,0:0:0.800,6/1/2080,0,0,,,,,,,,,
-0.71,-9.49,-1.61,27.18,41.73,17.76,0.66,-0.01,0.00,1041.94,18.10,671,18.78,6008,7254,6103,6347,2866,1018.61,18.13,1019.55,1245.21,0:0:1.800,6/1/2080,0,0,,,,,,,,,
-0.67,-9.30,-2.82,27.82,41.18,22.14,0.34,0.00,-0.02,1041.80,25.60,670,18.74,7145,10784,10759,32662,15334,4645.61,25.57,1041.88,1272.49,0:0:2.799,6/1/2080,0,0,,,,,,,,,
-0.71,-8.83,-3.37,27.55,41.45,21.53,0.17,0.01,0.00,1041.58,25.60,670,18.74,6494,10414,10113,11803,4940,2282.12,25.57,1041.90,1272.51,0:0:3.799,6/1/2080,0,0,,,,,,,,,
-0.71,-9.18,-2.79,27.27,41.27,20.61,0.21,0.01,0.00,1041.71,25.60,670,18.74,7460,10761,10957,65535,47961,0.00,25.56,1041.79,1272.37,0:0:4.800,6/1/2080,0,0,,,,,,,,,
-0.67,-9.41,-2.16,27.27,41.45,18.78,0.18,0.01,0.00,1041.71,25.60,669,18.70,8024,11772,11596,32237,15200,4517.85,18.13,1019.46,1245.10,0:0:6.800,6/1/2080,0,0,,,,,,,,,
-0.63,-9.38,-2.31,27.18,41.55,18.67,0.24,0.00,0.00,1041.71,18.10,670,18.74,8104,11904,11887,20336,9596,2842.36,18.13,1019.43,1245.07,0:0:7.800,6/1/2080,0,0,,,,,,,,,
-0.63,-9.34,-2.35,27.45,41.55,19.29,0.17,0.01,-0.00,1041.86,25.60,670,18.74,8188,11777,11664,22893,10920,3078.73,25.58,1041.80,1272.39,0:0:8.800,6/1/2080,0,0,,,,,,,,,
-0.55,-9.45,-2.04,27.27,41.45,17.96,0.10,0.01,0.00,1041.72,18.10,670,18.74,8185,11689,11476,43750,20589,6171.90,18.14,1019.53,1245.18,0:0:9.800,6/1/2080,0,0,,,,,,,,,
-0.59,-9.10,-2.90,27.45,42.09,20.41,0.07,-0.00,0.01,1041.81,18.10,672,18.82,9072,13534,12289,65535,34629,0.00,18.13,1019.55,1245.21,0:0:10.800,6/1/2080,0,0,,,,,,,,,
-0.55,-9.45,-2.28,27.27,41.45,19.29,0.37,-0.01,-0.00,1041.81,25.60,669,18.70,8567,12396,12194,34011,16099,4702.11,18.13,1019.43,1245.06,0:0:11.800,6/1/2080,0,0,,,,,,,,,
-0.67,-9.45,-1.69,27.00,41.82,15.61,0.02,0.02,-0.00,1042.03,18.10,669,18.70,8397,11998,11615,40171,18809,5765.22,18.13,1019.59,1245.26,0:0:12.800,6/1/2080,0,0,,,,,,,,,
-0.55,-9.53,-0.35,26.18,40.91,5.10,0.14,0.01,-0.00,1041.90,18.10,669,18.70,9922,13684,12986,65535,65535,0.00,18.15,1019.58,1245.25,0:0:13.800,6/1/2080,0,0,,,,,,,,,
-0.59,-9.41,0.67,26.00,41.36,7.14,0.15,-0.02,0.01,1042.13,18.10,669,18.70,9586,13185,12808,65535,65535,0.00,18.13,1019.56,1245.22,0:0:14.800,6/1/2080,0,0,,,,,,,,,
-0.67,-9.57,0.27,26.27,41.36,5.41,0.24,0.00,0.00,1042.15,18.10,669,18.70,8946,12440,11929,65535,54151,0.00,18.13,1019.49,1245.14,0:0:15.798,6/1/2080,0,0,,,,,,,,,
-0.63,-9.65,0.78,25.91,40.36,2.86,0.23,0.00,0.00,1042.13,18.10,667,18.62,8644,12102,11697,65535,65535,0.00,18.13,1019.46,1245.10,0:0:17.798,6/1/2080,0,0,,,,,,,,,
-0.63,-9.45,0.55,25.82,40.45,2.86,0.23,0.00,0.00,1042.09,18.10,669,18.70,7831,11617,11183,65535,65535,0.00,18.15,1019.59,1245.26,0:0:18.798,6/1/2080,0,0,,,,,,,,,
-0.55,-9.61,1.53,25.45,39.45,-0.61,0.29,-0.00,0.00,1042.09,18.10,669,18.70,8241,11873,11188,65535,65535,0.00,18.13,1019.43,1245.06,0:0:19.798,6/1/2080,0,0,,,,,,,,,
-0.59,-9.61,1.88,25.27,39.36,-1.63,0.41,-0.01,0.01,1042.22,18.10,669,18.70,7678,10475,10213,27814,11454,5560.78,18.13,1019.46,1245.10,0:0:20.798,6/1/2080,0,0,,,,,,,,,
-0.20,-9.45,-0.27,24.64,38.82,-3.47,0.06,-0.01,-0.01,1042.05,18.10,669,18.70,7778,10318,10229,12031,5501,1861.54,18.13,1019.43,1245.06,0:0:21.798,6/1/2080,0,0,,,,,,,,,
-0.78,-9.14,2.24,23.73,37.18,-8.37,0.34,-0.00,0.01,1042.09,18.10,669,18.70,8817,11242,11111,12387,5715,1864.51,18.13,1019.52,1245.17,0:0:22.798,6/1/2080,0,0,,,,,,,,,
-0.82,-9.38,1.96,23.91,37.55,-7.86,0.17,0.01,0.00,1042.14,25.70,669,18.70,9709,10668,9960,65535,65535,0.00,25.67,1042.08,1272.72,0:0:23.798,6/1/2080,0,0,,,,,,,,,
-0.67,-9.49,2.24,24.09,38.55,-6.63,0.23,0.01,0.00,1042.11,18.10,669,18.70,5187,6952,6970,6259,2694,1136.87,18.13,1019.43,1245.06,0:0:24.798,6/1/2080,0,0,,,,,,,,,
-0.82,-9.30,1.92,23.36,37.91,-8.27,0.22,0.01,0.00,1042.05,18.10,669,18.70,10098,12154,11935,13542,6330,1954.45,18.13,1019.44,1245.07,0:0:25.798,6/1/2080,0,0,,,,,,,,,
0.63,-11.06,1.96,23.36,37.73,-8.67,0.25,-0.00,-0.00,1042.09,25.70,670,18.74,8662,10910,9752,12254,5664,1833.93,18.13,1019.43,1245.06,0:0:26.798,6/1/2080,0,0,,,,,,,,,
-0.71,-9.26,1.65,23.18,36.91,-10.00,0.35,0.01,0.04,1042.30,18.10,666,18.58,2793,4660,2502,7947,4161,784.35,18.13,1019.43,1245.06,0:0:28.798,6/1/2080,0,0,,,,,,,,,
-0.63,-9.38,2.12,22.82,36.82,-10.82,0.20,0.01,0.01,1042.29,25.70,670,18.74,5288,6964,5306,65535,65535,0.00,25.68,1042.11,1272.76,0:0:29.798,6/1/2080,0,0,,,,,,,,,
-0.75,-9.53,1.61,22.82,38.27,-7.45,0.19,0.01,0.01,1042.22,25.70,669,18.70,65535,65535,65535,31151,23366,659.73,25.68,1042.27,1272.95,0:0:30.798,6/1/2080,0,0,,,,,,,,,
-0.55,-9.53,1.18,23.00,39.82,-6.12,0.14,-0.02,-0.00,1042.30,25.70,670,18.74,30342,65535,26844,65535,65535,0.00,25.68,1042.11,1272.76,0:0:31.798,6/1/2080,0,0,,,,,,,,,
-0.55,-9.61,0.59,22.91,39.36,-5.71,0.16,-0.02,-0.00,1042.08,25.70,669,18.70,65535,65535,65535,65535,65535,0.00,25.71,1042.39,1273.10,0:0:32.798,6/1/2080,0,0,,,,,,,,,
-0.43,-9.65,-0.35,22.82,40.91,-1.02,0.36,-0.14,0.00,1042.02,25.70,670,18.74,65535,65535,65535,65535,65535,0.00,25.71,1042.36,1273.07,0:0:33.798,6/1/2080,0,0,,,,,,,,,
-0.55,-9.26,-1.06,22.36,41.27,-1.43,-0.33,-0.14,-0.01,1042.27,25.70,669,18.70,65535,65535,65535,65535,65535,0.00,25.71,1042.18,1272.85,0:0:34.798,6/1/2080,0,0,,,,,,,,,
-0.51,-9.61,-0.98,21.91,42.55,1.53,0.01,0.01,0.01,1042.19,25.70,669,18.70,65535,65535,65535,65535,65535,0.00,25.71,1042.37,1273.08,0:0:35.798,6/1/2080,0,0,,,,,,,,,
-0.67,-9.61,-1.18,22.27,43.00,3.67,0.25,0.01,0.00,1042.19,25.70,670,18.74,65535,65535,65535,65535,65535,0.00,25.72,1042.37,1273.09,0:0:36.798,6/1/2080,0,0,,,,,,,,,
-0.67,-9.41,-1.96,22.09,43.18,3.78,0.14,0.01,0.00,1042.18,25.70,669,18.70,65535,65535,65535,65535,65535,0.00,25.73,1042.35,1273.06,0:0:37.798,6/1/2080,0,0,,,,,,,,,
-0.67,-9.49,-1.22,21.73,42.91,2.76,0.26,0.00,0.00,1042.23,25.70,669,18.70,9855,65535,65535,65535,65535,0.00,25.71,1042.30,1272.99,0:0:39.798,6/1/2080,0,0,,,,,,,,,
-0.86,-9.61,-1.45,21.91,43.18,3.27,0.04,0.01,0.00,1042.18,25.70,669,18.70,9304,11936,12987,9168,3734,1873.21,25.71,1042.26,1272.95,0:0:40.798,6/1/2080,0,0,,,,,,,,,
-0.75,-9.73,-1.14,22.00,42.73,2.45,0.20,0.00,0.01,1042.35,25.70,669,18.70,65535,65535,65535,65535,65535,0.00,25.73,1042.24,1272.92,0:0:41.798,6/1/2080,0,0,,,,,,,,,
-0.55,-9.53,-1.84,21.82,43.27,2.76,0.06,0.01,-0.00,1042.22,25.70,669,18.70,30225,64967,65051,25083,11615,3732.25,25.72,1042.22,1272.89,0:0:42.798,6/1/2080,0,0,,,,,,,,,
-0.51,-9.41,-1.73,21.82,42.82,2.96,0.09,0.01,0.00,1042.35,25.70,669,18.70,15956,14654,21899,15204,6717,2589.33,25.71,1042.28,1272.98,0:0:43.798,6/1/2080,0,0,,,,,,,,,
-0.67,-9.38,-1.65,21.82,43.00,3.27,0.09,0.01,0.00,1042.21,25.70,669,18.70,24884,28172,23698,22770,10443,3490.92,25.71,1042.19,1272.87,0:0:44.798,6/1/2080,0,0,,,,,,,,,
-0.98,-9.45,-1.45,21.64,42.91,3.57,0.40,-0.00,0.00,1042.30,25.70,669,18.70,25654,29029,24900,23144,10516,3648.25,25.71,1042.25,1272.93,0:0:45.798,6/1/2080,0,0,,,,,,,,,
-0.59,-9.77,-0.94,21.91,43.09,4.08,0.23,0.00,0.00,1042.26,25.80,669,18.70,24916,27451,23920,21880,9866,3525.54,25.71,1042.20,1272.87,0:0:46.798,6/1/2080,0,0,,,,,,,,,
-0.63,-9.65,-1.10,23.09,42.91,6.84,0.10,0.01,0.00,1042.32,25.70,669,18.70,13201,16428,17071,19407,9109,2762.47,25.76,1042.32,1273.03,0:0:47.798,6/1/2080,0,0,,,,,,,,,
-1.22,-9.65,-2.86,24.18,41.91,4.59,-0.30,0.32,0.08,1042.22,25.70,669,18.70,15550,18401,19084,13765,5829,2594.83,25.71,1042.20,1272.87,0:0:48.798,6/1/2080,0,0,,,,,,,,,
-0.47,-9.57,-1.49,24.27,42.36,7.76,0.42,-0.02,-0.08,1042.18,25.70,668,18.66,65535,65535,65535,26042,11102,4836.07,25.76,1042.32,1273.03,0:0:50.798,6/1/2080,0,0,,,,,,,,,
-0.51,-9.53,-1.45,24.64,42.18,7.96,-0.04,0.02,-0.01,1042.18,25.80,669,18.70,65535,65535,65535,24788,10720,4452.08,25.76,1042.32,1273.03,0:0:51.798,6/1/2080,0,0,,,,,,,,,
1.57,-8.59,-3.80,25.64,42.45,20.41,0.88,0.04,-0.04,1042.18,25.70,669,18.70,65535,65535,65535,24582,10714,4332.43,25.71,1042.51,1273.26,0:0:52.798,6/1/2080,0,0,,,,,,,,,
-0.67,-8.75,-4.31,24.36,43.36,19.18,0.43,-0.03,0.04,1042.33,25.70,669,18.70,26868,30862,26240,21948,9801,3632.92,25.71,1042.54,1273.29,0:0:53.798,6/1/2080,0,0,,,,,,,,,
-0.71,-8.83,-4.12,24.55,43.18,18.16,0.08,0.00,0.03,1042.39,25.70,669,18.70,25866,29295,25889,21877,9923,3466.06,25.71,1042.52,1273.26,0:0:54.798,6/1/2080,0,0,,,,,,,,,
-0.63,-8.79,-3.96,24.27,43.18,16.84,0.03,0.01,0.01,1042.81,25.70,669,18.70,26357,30142,26188,22311,9935,3721.26,25.71,1042.55,1273.31,0:0:55.798,6/1/2080,0,0,,,,,,,,,
-0.82,-8.75,-3.88,24.55,43.18,16.84,0.24,0.00,0.00,1042.85,25.70,669,18.70,23473,27098,23479,20805,9194,3540.69,25.72,1042.58,1273.34,0:0:56.798,6/1/2080,0,0,,,,,,,,,
-0.59,-9.10,-3.30,24.45,42.91,16.02,0.23,0.01,-0.00,1042.79,25.70,669,18.70,23142,27012,23468,20629,8981,3645.80,25.71,1042.55,1273.30,0:0:57.798,6/1/2080,0,0,,,,,,,,,
-0.67,-9.02,-3.65,24.36,43.45,16.22,0.13,0.01,0.01,1042.79,25.70,669,18.70,22615,26771,23048,20213,8832,3540.28,25.72,1042.58,1273.34,0:0:58.798,6/1/2080,0,0,,,,,,,,,
-0.94,-9.06,-3.57,23.82,43.64,15.61,0.40,-0.01,0.01,1042.73,25.70,669,18.70,22327,25767,22590,20421,9096,3403.40,25.72,1042.61,1273.37,0:0:59.798,6/1/2080,0,0,,,,,,,,,
-0.82,-8.94,-3.61,23.73,43.91,15.61,0.40,0.05,0.05,1042.79,25.70,669,18.70,22688,26424,23020,19767,8940,3158.01,25.71,1042.54,1273.29,0:1:1.799,6/1/2080,0,0,,,,,,,,,
-0.78,-9.26,-3.14,23.73,43.55,15.10,0.15,0.01,0.00,1042.81,25.70,669,18.70,23169,26942,23618,20448,9131,3384.80,25.78,1042.89,1273.71,0:1:2.799,6/1/2080,0,0,,,,,,,,,
-0.39,-8.59,-4.86,24.36,43.64,19.90,0.10,0.02,0.01,1042.88,25.80,669,18.70,23172,27086,23845,20539,9062,3509.89,25.71,1042.70,1273.48,0:1:3.799,6/1/2080,0,0,,,,,,,,,
-0.04,-8.87,-4.55,23.45,43.91,17.14,0.23,-0.01,0.04,1042.78,25.80,669,18.70,23166,27142,23829,20469,9059,3470.00,25.78,1042.96,1273.81,0:1:4.799,6/1/2080,0,0,,,,,,,,,
-0.39,-9.14,-3.77,23.73,43.73,15.82,0.11,-0.20,-0.07,1042.79,25.70,669,18.70,23681,27870,24492,21135,9349,3587.66,25.79,1042.90,1273.73,0:1:5.799,6/1/2080,0,0,,,,,,,,,
-0.67,-9.02,-4.16,24.09,43.45,17.35,-0.04,0.04,-0.04,1042.92,25.70,669,18.70,23859,28375,24154,21406,9414,3688.60,25.72,1042.70,1273.48,0:1:6.799,6/1/2080,0,0,,,,,,,,,
-0.63,-8.79,-3.53,23.45,43.91,15.00,0.29,0.02,0.02,1042.80,25.70,669,18.70,22339,26356,23807,20109,8679,3629.06,25.71,1042.77,1273.58,0:1:7.799,6/1/2080,0,0,,,,,,,,,
-0.35,-8.98,-4.04,23.91,43.64,15.61,0.13,-0.01,-0.03,1042.83,25.70,669,18.70,22023,25934,23132,19524,8614,3336.61,25.72,1042.81,1273.62,0:1:8.799,6/1/2080,0,0,,,,,,,,,
-0.63,-8.71,-3.92,23.36,43.82,14.80,0.18,-0.01,-0.02,1042.80,25.70,669,18.70,21857,25512,22684,19199,8510,3241.60,25.72,1042.70,1273.49,0:1:9.799,6/1/2080,0,0,,,,,,,,,
-0.90,-8.98,-3.77,23.45,43.82,13.98,0.24,-0.00,0.01,1042.50,25.70,669,18.70,22339,25966,22939,18866,8447,3100.35,25.72,1042.76,1273.56,0:1:10.799,6/1/2080,0,0,,,,,,,,,
-0.47,-9.22,-3.45,22.64,44.18,13.78,0.10,-0.01,0.01,1042.43,25.70,668,18.66,22240,25756,21703,19611,8796,3207.23,25.72,1042.76,1273.56,0:1:12.799,6/1/2080,0,0,,,,,,,,,
-0.63,-8.83,-3.96,23.00,44.18,15.71,0.10,0.01,-0.00,1042.67,25.70,669,18.70,23138,27199,23703,19600,8858,3137.87,25.71,1042.68,1273.46,0:1:13.799,6/1/2080,0,0,,,,,,,,,
-0.59,-8.94,-3.80,22.91,44.09,15.41,0.21,0.00,0.01,1042.50,25.70,669,18.70,23135,27419,24377,20050,8779,3493.55,25.73,1042.80,1273.60,0:1:14.799,6/1/2080,0,0,,,,,,,,,
-0.63,-8.79,-4.00,22.91,44.00,15.51,0.16,0.01,0.01,1042.72,25.70,669,18.70,24137,28631,25113,20631,9058,3570.21,25.71,1042.66,1273.44,0:1:15.799,6/1/2080,0,0,,,,,,,,,
-0.67,-8.87,-3.88,22.82,44.27,15.61,0.20,0.01,0.00,1042.70,25.70,669,18.70,24511,28819,25341,20884,9151,3632.05,25.73,1042.80,1273.60,0:1:16.799,6/1/2080,0,0,,,,,,,,,
-0.63,-8.83,-3.92,22.91,44.00,15.41,0.19,0.01,0.00,1042.73,25.70,669,18.70,24573,28861,25494,21291,9466,3566.00,25.72,1042.94,1273.78,0:1:17.799,6/1/2080,0,0,,,,,,,,,
-0.67,-8.87,-3.92,22.82,44.00,15.51,0.18,0.01,0.00,1042.68,25.70,669,18.70,24437,28816,25447,21171,9386,3572.64,25.71,1042.92,1273.76,0:1:18.799,6/1/2080,0,0,,,,,,,,,
-0.59,-8.83,-3.96,23.00,43.91,15.92,0.18,0.01,0.00,1042.65,25.70,669,18.70,24435,28773,25431,21193,9404,3568.08,25.71,1042.67,1273.45,0:1:19.799,6/1/2080,0,0,,,,,,,,,
-0.67,-8.87,-3.92,22.82,44.27,16.02,0.18,0.01,0.00,1042.62,25.60,669,18.70,26205,29873,48908,21586,9444,3768.72,25.66,1042.57,1273.33,0:1:20.799,6/1/2080,0,0,,,,,,,,,
-0.59,-8.83,-3.92,23.18,43.91,15.31,0.19,0.01,0.00,1042.63,25.70,669,18.70,65535,65535,65535,65535,53718,0.00,25.63,1042.47,1273.21,0:1:21.799,6/1/2080,0,0,,,,,,,,,
-0.59,-8.83,-3.92,22.91,44.09,15.71,0.18,0.01,0.00,1042.64,25.70,668,18.66,65535,65535,65535,65535,65535,0.00,25.66,1042.55,1273.30,0:1:23.799,6/1/2080,0,0,,,,,,,,,
-0.67,-8.90,-3.92,22.91,44.18,15.51,0.18,0.01,0.00,1042.70,25.70,669,18.70,65535,65535,65535,65535,65535,0.00,25.66,1042.64,1273.41,0:1:24.799,6/1/2080,0,0,,,,,,,,,
-0.63,-8.87,-3.96,23.09,44.00,15.71,0.18,0.01,0.00,1041.98,25.60,669,18.70,26980,31722,28000,65535,65535,0.00,25.66,1042.63,1273.40,0:1:25.799,6/1/2080,0,0,,,,,,,,,
-0.51,-8.32,-3.02,21.36,44.82,12.86,0.24,0.27,-0.12,1042.54,25.60,669,18.70,65535,65535,65535,65535,65535,0.00,25.66,1042.63,1273.40,0:1:26.799,6/1/2080,0,0,,,,,,,,,
-0.39,-8.79,-3.61,22.91,44.09,16.02,0.18,0.07,0.09,1041.94,25.70,669,18.74,16200,19610,15787,65535,65535,0.00,25.61,1042.48,1273.22,0:1:27.799,6/1/2080,0,0,,,,,,,,,
-0.71,-9.61,-1.73,24.27,43.55,10.92,-0.16,0.02,0.02,1041.92,25.60,673,18.86,63130,51950,65535,65535,65535,0.00,25.62,1042.52,1273.27,0:1:28.798,6/1/2080,0,0,,,,,,,,,
-0.20,-8.32,-5.33,24.09,43.09,13.47,-0.08,0.02,-0.01,1041.89,25.60,674,18.90,65535,65535,65535,65535,65535,0.00,25.62,1042.53,1273.28,0:1:29.798,6/1/2080,0,0,,,,,,,,,
-1.49,-8.94,-3.33,24.00,43.45,12.35,0.26,0.01,0.02,1041.90,25.60,671,18.78,65535,22208,47263,65535,65535,0.00,25.66,1042.60,1273.36,0:1:30.798,6/1/2080,0,0,,,,,,,,,
-0.59,-9.61,-1.18,24.18,43.45,11.94,0.48,-0.00,0.00,1041.89,25.60,674,18.90,65535,65535,65535,65535,65535,0.00,25.61,1042.48,1273.22,0:1:31.798,6/1/2080,0,0,,,,,,,,,
-0.75,-9.02,-2.71,24.09,43.36,10.51,0.17,0.01,0.00,1041.94,25.60,673,18.86,65535,65535,65535,65535,65535,0.00,25.65,1042.59,1273.36,0:1:32.798,6/1/2080,0,0,,,,,,,,,
-0.75,-9.49,-1.69,0.00,0.00,0.00,0.25,0.01,0.01,1041.89,25.60,518,12.63,65535,65535,65535,65535,65535,0.00,25.63,1042.56,1273.31,0:1:34.798,6/1/2080,0,0,,,,,,,,,
-0.75,-9.49,-1.96,23.64,42.82,7.96,0.10,0.01,-0.03,1041.86,25.60,520,12.71,65535,65535,65535,65535,65535,0.00,25.64,1042.53,1273.28,0:1:35.798,6/1/2080,0,0,,,,,,,,,
-0.67,-9.41,-2.16,23.64,43.18,8.06,0.18,0.01,0.00,1041.84,25.60,520,12.71,65535,65535,65535,65535,65535,0.00,25.63,1042.59,1273.36,0:1:36.798,6/1/2080,0,0,,,,,,,,,
-0.78,-9.18,-2.71,23.82,43.09,8.37,0.29,-0.00,0.01,1041.81,25.60,520,12.71,65535,65535,65535,65535,65535,0.00,25.63,1041.93,1272.55,0:1:37.798,6/1/2080,0,0,,,,,,,,,
-0.59,-9.34,-2.04,23.82,43.00,8.57,0.16,0.01,0.00,1041.81,25.60,521,12.75,24235,39339,27778,65535,65535,0.00,25.63,1042.02,1272.66,0:1:38.798,6/1/2080,0,0,,,,,,,,,
-0.86,-9.81,-1.10,23.91,42.82,8.67,0.20,0.02,-0.00,1041.88,25.60,521,12.75,15702,21770,20605,17925,7084,3871.22,25.61,1041.87,1272.48,0:1:39.798,6/1/2080,0,0,,,,,,,,,
-0.71,-9.38,-2.12,23.82,43.09,8.88,0.16,0.01,0.00,1041.92,25.90,521,12.75,36333,26176,65535,65535,65535,0.00,25.61,1041.93,1272.55,0:1:40.798,6/1/2080,0,0,,,,,,,,,
-0.55,-9.96,-1.10,23.91,42.91,9.59,0.10,0.01,0.00,1041.81,25.60,521,12.75,65535,65535,65535,65535,65535,0.00,25.61,1041.94,1272.56,0:1:41.798,6/1/2080,0,0,,,,,,,,,
-0.55,-9.10,-3.06,24.18,43.00,9.29,0.10,0.02,0.00,1041.78,25.90,521,12.75,65535,65535,65535,65535,65535,0.00,25.91,1042.84,1273.66,0:1:42.798,6/1/2080,0,0,,,,,,,,,
-0.78,-9.49,-1.49,23.91,42.91,8.27,0.32,0.00,0.01,1041.79,25.90,523,12.83,65535,65535,65535,65535,65535,0.00,25.60,1041.88,1272.49,0:1:43.798,6/1/2080,0,0,,,,,,,,,
-0.82,-9.34,-2.24,24.09,43.00,9.90,0.15,0.08,0.02,1042.91,25.90,524,12.87,65535,65535,65535,65535,65535,0.00,25.91,1042.82,1273.64,0:1:45.798,6/1/2080,0,0,,,,,,,,,
-0.67,-9.45,-2.00,24.27,42.91,10.31,0.18,0.01,0.01,1042.83,25.90,523,12.83,65535,65535,65535,65535,65535,0.00,25.91,1042.79,1273.59,0:1:46.798,6/1/2080,0,0,,,,,,,,,
-0.47,-9.92,-2.12,24.18,42.55,9.08,0.10,0.01,0.00,1042.82,25.90,523,12.83,65535,65535,65535,65535,65535,0.00,25.92,1042.81,1273.62,0:1:47.798,6/1/2080,0,0,,,,,,,,,
-0.71,-9.38,-2.20,24.55,42.82,9.49,0.17,0.01,0.00,1042.88,25.90,525,12.91,65535,65535,65535,65535,65535,0.00,25.91,1042.77,1273.58,0:1:48.798,6/1/2080,0,0,,,,,,,,,
-0.67,-9.34,-2.31,24.36,43.00,10.10,0.12,0.01,0.00,1042.83,25.90,526,12.95,65535,65535,65535,65535,65535,0.00,25.92,1042.93,1273.77,0:1:49.798,6/1/2080,0,0,,,,,,,,,
-0.63,-9.26,-2.67,24.45,43.00,10.82,0.19,0.01,-0.00,1042.80,25.90,528,13.03,65535,65535,65535,65535,65535,0.00,25.91,1042.93,1273.77,0:1:50.798,6/1/2080,0,0,,,,,,,,,
-0.63,-9.41,-2.16,24.18,42.91,9.80,0.25,0.00,0.00,1042.80,25.90,532,13.19,65535,65535,65535,65535,65535,0.00,25.93,1042.83,1273.65,0:1:51.800,6/1/2080,0,0,,,,,,,,,
-0.43,-9.57,-2.71,24.55,43.00,11.73,0.20,0.01,-0.00,1042.80,25.90,532,13.19,65535,65535,65535,65535,65535,0.00,25.93,1042.85,1273.67,0:1:52.800,6/1/2080,0,0,,,,,,,,,
-0.63,-9.45,-2.59,24.36,43.00,11.94,0.23,0.00,0.01,1043.11,25.90,539,13.47,65535,27057,39724,65535,65535,0.00,25.91,1042.94,1273.78,0:1:53.800,6/1/2080,0,0,,,,,,,,,
